scientificName,longitude,latitude,pr_ab,dnw,dsm,lst,ndvi,.part
"Gyps africanus Salvadori, 1865",31.378946,-23.618872,1,4.139175415,382.9883423,305.0543823,137.0686951,4
"Gyps africanus Salvadori, 1865",31.584386,-25.336232,1,3.257504225,358.4041138,305.0178833,108.3187103,1
"Gyps africanus Salvadori, 1865",31.73814,-25.336269,1,1.000343442,233.7201691,307.8244324,119.3703995,3
"Gyps africanus Salvadori, 1865",31.398393,-24.477289,1,2.196271181,465.32547,308.7504883,106.4830246,5
"Gyps africanus Salvadori, 1865",31.16564,-23.946021,1,1.8357054,431.2981873,301.2985229,130.893219,4
"Gyps africanus Salvadori, 1865",31.577628,-25.011862,1,0.672537327,312.5176086,307.0737305,129.5411072,2
"Gyps africanus Salvadori, 1865",31.77965,-24.569307,1,4.259747028,337.9088135,304.1783752,111.6205826,1
"Gyps africanus Salvadori, 1865",31.547951,-23.697115,1,0.335416853,301.6347961,305.68573,139.7850342,5
"Gyps africanus Salvadori, 1865",31.827954,-24.440501,1,3.726279259,282.9302979,302.4266052,107.7474289,2
"Gyps africanus Salvadori, 1865",31.481186,-24.986685,1,0.224223703,311.5623169,307.0135193,134.4289703,2
"Gyps africanus Salvadori, 1865",31.833897,-24.721439,1,0.247376651,277.5890198,305.9024963,123.7250977,2
"Gyps africanus Salvadori, 1865",31.827497,-24.831575,1,0.717506707,300.3338318,306.8908691,128.6638336,1
"Gyps africanus Salvadori, 1865",31.678547,-24.944748,1,0.247376651,254.5024414,307.8430481,129.2444305,1
"Gyps africanus Salvadori, 1865",31.790159,-24.599166,1,2.237720728,325.9356995,306.5522461,111.0044632,4
"Gyps africanus Salvadori, 1865",31.713907,-24.956119,1,0.247376651,244.3877563,305.4476624,135.2537842,5
"Gyps africanus Salvadori, 1865",31.55474,-23.968497,1,3.263615608,323.1455994,305.0621338,120.1766205,2
"Gyps africanus Salvadori, 1865",31.285849,-22.428796,1,0.845782995,212.8331604,309.3555603,113.3480301,4
"Gyps africanus Salvadori, 1865",31.716118,-24.953214,1,0,245.621933,305.3744812,136.2705536,3
"Gyps africanus Salvadori, 1865",31.017213,-22.693922,1,2.205259562,468.5050964,305.1943665,148.5088806,1
